time,open,high,low,close,volume,SMA
2015-02-17T00:00:00.000Z,127.489998,128.880005,126.919998,127.830002,63152400,
2015-02-18T00:00:00.000Z,127.629997,128.779999,127.449997,128.720001,44891700,
2015-02-19T00:00:00.000Z,128.479996,129.029999,128.330002,128.449997,37362400,
2015-02-20T00:00:00.000Z,128.619995,129.5,128.050003,129.5,48948400,
2015-02-23T00:00:00.000Z,130.020004,133,129.660004,133,70974100,
2015-02-24T00:00:00.000Z,132.940002,133.600006,131.169998,132.169998,69228100,
2015-02-25T00:00:00.000Z,131.559998,131.600006,128.149994,128.789993,74711700,
2015-02-26T00:00:00.000Z,128.789993,130.869995,126.610001,130.419998,91287500,
2015-02-27T00:00:00.000Z,130,130.570007,128.240005,128.460007,62014800,
2015-03-02T00:00:00.000Z,129.25,130.279999,128.300003,129.089996,48096700,
2015-03-03T00:00:00.000Z,128.960007,129.520004,128.089996,129.360001,37816300,
2015-03-04T00:00:00.000Z,129.100006,129.559998,128.320007,128.539993,31666300,
2015-03-05T00:00:00.000Z,128.580002,128.75,125.760002,126.410004,56517100,
2015-03-06T00:00:00.000Z,128.399994,129.369995,126.260002,126.599998,72842100,129.095713
2015-03-09T00:00:00.000Z,127.959999,129.570007,125.059998,127.139999,88528500,129.046427
2015-03-10T00:00:00.000Z,126.410004,127.220001,123.800003,124.510002,68856600,128.745713
2015-03-11T00:00:00.000Z,124.75,124.769997,122.110001,122.239998,68939000,128.302142
2015-03-12T00:00:00.000Z,122.309998,124.900002,121.629997,124.449997,48362700,127.941427
2015-03-13T00:00:00.000Z,124.400002,125.400002,122.580002,123.589996,51827300,127.269284
2015-03-16T00:00:00.000Z,123.879997,124.949997,122.870003,124.949997,35874300,126.753570
2015-03-17T00:00:00.000Z,125.900002,127.32,125.650002,127.040001,51023100,126.628570
2015-03-18T00:00:00.000Z,127,129.160004,126.370003,128.470001,65270900,126.489285
2015-03-19T00:00:00.000Z,128.75,129.25,127.400002,127.5,45809500,126.420713
2015-03-20T00:00:00.000Z,128.25,128.399994,125.160004,125.900002,68695100,126.192856
2015-03-23T00:00:00.000Z,127.120003,127.849998,126.519997,127.209999,37709700,126.039285
2015-03-24T00:00:00.000Z,127.230003,128.039993,126.559998,126.690002,32842300,125.907143
2015-03-25T00:00:00.000Z,126.540001,126.82,123.379997,123.379997,51655200,125.690713
2015-03-26T00:00:00.000Z,122.760002,124.879997,122.599998,124.239998,47572900,125.522142
