Date,Message
2026-06-01T05:30:00.000+05:30,"OPSHEAD|time,open,high,low,close,volume,macd_line,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,tsi_25_13,triple_ema_9,sma_of_ema_10,ema_of_sma_10,rsi_of_ema_10"
2026-06-01T12:30:00.000+05:30,"OPS|1780297200000,73044,73111.44,72945.01,73019.79,12.11446,-193.2296259683,NaN,NaN,73398.403,73926.1834947883,72870.6225052117,NaN,73440.4322427207,73365.5126151447,73358.8281523395,17.9308360506"
2026-06-01T12:45:00.000+05:30,"OPS|1780298100000,73021.44,73034.01,72856.19,72888.42,10.00669606,-204.3644738923,NaN,NaN,73371.7485,73944.1296200346,72799.3673799654,NaN,73406.1402454999,73324.8810487547,73319.4119428232,16.0509059052"
2026-06-01T13:00:00.000+05:30,"OPS|1780299000000,72888.41,72894,72773.11,72849.8,7.84740819,-213.8402154408,NaN,NaN,73330.0995,73926.6055924241,72733.5934075759,NaN,73369.970954725,73281.0515853448,73276.5768623099,14.4905028474"
2026-06-01T13:15:00.000+05:30,"OPS|1780299900000,72849.81,72861,72611.68,72712.58,9.73808466,-229.7736287288,NaN,NaN,73281.278,73911.1891683631,72651.3668316369,NaN,73331.3429682532,73235.4043880094,73231.7432509808,12.7273952647"
2026-06-01T13:30:00.000+05:30,"OPS|1780300800000,72711.6,72759,72697.49,72721.27,4.02234265,-238.9453499233,NaN,NaN,73228.1645,73858.8564003618,72597.4725996383,NaN,73290.5928564317,73186.9888629167,73183.9933871662,11.5280029374"
2026-06-01T13:45:00.000+05:30,"OPS|1780301700000,72721.99,72762,72554.2,72630,12.9717573,-250.688945162,-207.4770804267,-43.2118647353,73168.9655,73790.8001891042,72547.1308108959,NaN,73247.7094852091,73136.0490696592,73133.5982258632,10.3345686476"
2026-06-01T14:00:00.000+05:30,"OPS|1780302600000,72631.7,72764.94,72514.91,72666,15.68909493,-254.1611186948,-216.8138880804,-37.3472306144,73114.616,73712.3122802988,72516.9197197013,NaN,73203.5400798986,73084.6985115393,73082.6932757063,9.579135991"
2026-06-01T14:15:00.000+05:30,"OPS|1780303500000,72666,72828.38,72666,72808.57,10.84092952,-242.6119541556,-221.9735012954,-20.6384528602,73071.7205,73626.4301571485,72517.0108428515,NaN,73160.1460826482,73037.5313276231,73035.8906801233,9.4323220575"
2026-06-01T14:30:00.000+05:30,"OPS|1780304400000,72808.57,72922.99,72808.57,72875.2,7.77648578,-225.4834411501,-222.6754892663,-2.8079518838,73040.48,73564.728615254,72516.231384746,NaN,73119.3825013775,72998.2645407825,72996.9221928282,10.3912564377"
2026-06-01T14:45:00.000+05:30,"OPS|1780305300000,72871.17,73012.33,72846.46,72909.37,6.89269082,-206.7682421727,-219.4940398476,12.7257976749,73020.699,73533.2575987513,72508.1404012487,-0.3341331967,73082.5250055294,72963.6891697311,72962.5908850412,12.3678991238"
